route_long_name,end_date,route_type,route_text_color,agency_id,route_id,route_color,route_desc,directions,route_url,route_short_name,start_date,direction_id,direction_headsign,direction_name
(M) Escuela Militar - Las Condes,2019-12-31,3,000000,TS,401c,F58220,,"[{'direction_id': 0, 'route_id': '401c', 'direction_headsign': 'Las Condes', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '401c', 'direction_headsign': '(M) Escuela Militar', 'direction_name': 'Inbound'}]",,401c,2019-07-08,1,(M) Escuela Militar,Inbound
Ciudad Satelite - (M) Los Heroes,2019-12-31,3,FFFFFF,TS,113,00A77E,,"[{'direction_id': 0, 'route_id': '113', 'direction_headsign': '(M) Los Héroes', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '113', 'direction_headsign': 'Ciudad Satélite', 'direction_name': 'Inbound'}]",,113,2019-07-06,0,(M) Los Héroes,Outbound
Ciudad Satelite - (M) Los Heroes,2019-12-31,3,FFFFFF,TS,113,00A77E,,"[{'direction_id': 0, 'route_id': '113', 'direction_headsign': '(M) Los Héroes', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '113', 'direction_headsign': 'Ciudad Satélite', 'direction_name': 'Inbound'}]",,113,2019-07-06,1,Ciudad Satélite,Inbound
Maipu - Peñalolen,2019-12-31,3,FFFFFF,TS,506,00929E,,"[{'direction_id': 0, 'route_id': '506', 'direction_headsign': 'Peñalolén', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '506', 'direction_headsign': 'Maipú', 'direction_name': 'Inbound'}]",,506,2019-07-06,0,Peñalolén,Outbound
Maipu - Peñalolen,2019-12-31,3,FFFFFF,TS,506,00929E,,"[{'direction_id': 0, 'route_id': '506', 'direction_headsign': 'Peñalolén', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '506', 'direction_headsign': 'Maipú', 'direction_name': 'Inbound'}]",,506,2019-07-06,1,Maipú,Inbound
(M) Bellavista De La Florida  - Jardin Alto,2019-12-31,3,FFFFFF,TS,322,00A77E,,"[{'direction_id': 1, 'route_id': '322', 'direction_headsign': '(M) Bellavista la Florida', 'direction_name': 'Inbound'}, {'direction_id': 0, 'route_id': '322', 'direction_headsign': 'Jardín Alto', 'direction_name': 'Outbound'}]",,322,2019-07-06,1,(M) Bellavista la Florida,Inbound
(M) Bellavista De La Florida  - Jardin Alto,2019-12-31,3,FFFFFF,TS,322,00A77E,,"[{'direction_id': 1, 'route_id': '322', 'direction_headsign': '(M) Bellavista la Florida', 'direction_name': 'Inbound'}, {'direction_id': 0, 'route_id': '322', 'direction_headsign': 'Jardín Alto', 'direction_name': 'Outbound'}]",,322,2019-07-06,0,Jardín Alto,Outbound
Ciudad Satélite - Rinconada,2019-12-31,3,FFFFFF,TS,350,00A77E,,"[{'direction_id': 0, 'route_id': '350', 'direction_headsign': 'Rinconada', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '350', 'direction_headsign': 'Ciudad Satélite', 'direction_name': 'Inbound'}]",,350,2019-07-08,0,Rinconada,Outbound
Ciudad Satélite - Rinconada,2019-12-31,3,FFFFFF,TS,350,00A77E,,"[{'direction_id': 0, 'route_id': '350', 'direction_headsign': 'Rinconada', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '350', 'direction_headsign': 'Ciudad Satélite', 'direction_name': 'Inbound'}]",,350,2019-07-08,1,Ciudad Satélite,Inbound
(M) Cerrillos - Ciudad Satelite,2019-12-31,3,FFFFFF,TS,113c,00A77E,,"[{'direction_id': 0, 'route_id': '113c', 'direction_headsign': '(M) Cerrillos', 'direction_name': 'Outbound'}, {'direction_id': 1, 'route_id': '113c', 'direction_headsign': 'Ciudad Satélite', 'direction_name': 'Inbound'}]",,113c,2019-07-08,0,(M) Cerrillos,Outbound
